

 noise gain  : 0.1

Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 76.204063 , average_magnitude : 73.406242 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 74.701431 , average_magnitude : 73.458046 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 80.288895 , average_magnitude : 73.720772 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 68.013962 , average_magnitude : 73.509407 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.839638 , average_magnitude : 73.485489 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.179787 , average_magnitude : 73.405983 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 81.331512 , average_magnitude : 73.670166 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.226982 , average_magnitude : 73.526840 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.135262 , average_magnitude : 73.545853 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 68.741257 , average_magnitude : 73.400261 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 78.118729 , average_magnitude : 73.539032 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.824768 , average_magnitude : 73.461479 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 76.627777 , average_magnitude : 73.549431 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 67.944153 , average_magnitude : 73.397934 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 74.556084 , average_magnitude : 73.428413 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.341713 , average_magnitude : 73.323631 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.494781 , average_magnitude : 73.327911 
Decode NSSS - fr

 noise gain  : 0.12

Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.041977 , average_magnitude : 75.041977 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 67.434395 , average_magnitude : 71.238190 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.814507 , average_magnitude : 72.096962 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 73.846916 , average_magnitude : 72.534454 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 68.337975 , average_magnitude : 71.695160 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 71.639351 , average_magnitude : 71.685860 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 69.657990 , average_magnitude : 71.396164 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 71.582710 , average_magnitude : 71.419479 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.032021 , average_magnitude : 71.154205 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.459351 , average_magnitude : 71.384720 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 66.828339 , average_magnitude : 70.970505 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 74.339851 , average_magnitude : 71.251282 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.059547 , average_magnitude : 71.082687 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.465080 , average_magnitude : 71.324287 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 73.558235 , average_magnitude : 71.473221 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 73.990303 , average_magnitude : 71.630539 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 71.637123 , average_magnitude : 71.630920 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.663078 , average_magnitude : 71.688263 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.769981 , average_magnitude : 71.692566 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 80.242691 , average_magnitude : 72.120071 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 71.885498 , average_magnitude : 72.108902 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.594490 , average_magnitude : 72.130974 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 73.365822 , average_magnitude : 72.184669 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.600471 , average_magnitude : 72.326996 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.469101 , average_magnitude : 72.212677 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.270920 , average_magnitude : 72.291840 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 73.511284 , average_magnitude : 72.337006 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 72.800323 , average_magnitude : 72.353554 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 73.791855 , average_magnitude : 72.403152 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 70.463287 , average_magnitude : 72.338493 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.784050 , average_magnitude : 72.320602 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.910851 , average_magnitude : 72.464050 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.874626 , average_magnitude : 72.415886 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.332092 , average_magnitude : 72.442825 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 67.305000 , average_magnitude : 72.296028 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 68.018791 , average_magnitude : 72.177216 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.415733 , average_magnitude : 72.102585 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 70.706139 , average_magnitude : 72.065834 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 68.925659 , average_magnitude : 71.985313 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 80.749260 , average_magnitude : 72.204414 
Decode NSSS - fr

 noise gain  : 0.125

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 73.420677 , average_magnitude : 73.420677 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.140511 , average_magnitude : 72.780594 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.260338 , average_magnitude : 73.273842 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 70.376434 , average_magnitude : 72.549492 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.840912 , average_magnitude : 73.207779 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 66.983086 , average_magnitude : 72.170326 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 77.165565 , average_magnitude : 72.883934 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 71.212425 , average_magnitude : 72.674995 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 73.325851 , average_magnitude : 72.747314 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.042534 , average_magnitude : 72.376839 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 76.037872 , average_magnitude : 72.709663 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 68.439499 , average_magnitude : 72.353813 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.249542 , average_magnitude : 72.576553 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 66.334244 , average_magnitude : 72.130669 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 76.711365 , average_magnitude : 72.436050 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 69.103844 , average_magnitude : 72.227791 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 77.471741 , average_magnitude : 72.536263 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 66.286797 , average_magnitude : 72.189064 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 70.769699 , average_magnitude : 72.114357 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 67.901993 , average_magnitude : 71.903732 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 73.445732 , average_magnitude : 71.977158 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 68.405899 , average_magnitude : 71.814827 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 71.020576 , average_magnitude : 71.780296 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 70.695305 , average_magnitude : 71.735085 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 71.958847 , average_magnitude : 71.744041 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 72.282166 , average_magnitude : 71.764740 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.687286 , average_magnitude : 71.798912 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 68.452477 , average_magnitude : 71.679398 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.618797 , average_magnitude : 71.815247 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.768311 , average_magnitude : 71.780350 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 70.760880 , average_magnitude : 71.747467 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 63.770004 , average_magnitude : 71.498169 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 71.379250 , average_magnitude : 71.494560 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 68.487556 , average_magnitude : 71.406120 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 75.402168 , average_magnitude : 71.520294 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 67.202179 , average_magnitude : 71.400345 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 77.670059 , average_magnitude : 71.569801 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.539711 , average_magnitude : 71.542702 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 68.993607 , average_magnitude : 71.477341 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 69.294144 , average_magnitude : 71.422760 
Decode NSSS - fr

 noise gain  : 0.13

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 72.126060 , average_magnitude : 72.126060 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.067886 , average_magnitude : 73.596970 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 69.081337 , average_magnitude : 72.091759 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.537956 , average_magnitude : 72.453308 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.717804 , average_magnitude : 73.106209 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 65.147987 , average_magnitude : 71.779839 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 73.602898 , average_magnitude : 72.040276 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 68.134178 , average_magnitude : 71.552010 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 74.106155 , average_magnitude : 71.835800 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 60.705009 , average_magnitude : 70.722725 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.246735 , average_magnitude : 70.861275 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 72.038239 , average_magnitude : 70.959351 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 71.605034 , average_magnitude : 71.009018 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 66.473343 , average_magnitude : 70.685043 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 72.827209 , average_magnitude : 70.827850 
