

 nb subcarrier : 1, subcarrier index0

Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 68.574341 , average_magnitude : 69.243423 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 75.536873 , average_magnitude : 69.692955 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 61.287518 , average_magnitude : 69.132591 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 67.644730 , average_magnitude : 69.039604 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 60.108898 , average_magnitude : 68.514267 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 71.880898 , average_magnitude : 68.701302 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 70.856613 , average_magnitude : 68.814735 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 66.864510 , average_magnitude : 68.717224 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 70.883522 , average_magnitude : 68.820381 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 72.405937 , average_magnitude : 68.983360 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 64.685608 , average_magnitude : 68.796501 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 62.426601 , average_magnitude : 68.531090 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 66.669456 , average_magnitude : 68.456619 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 76.322914 , average_magnitude : 68.759171 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 66.242516 , average_magnitude : 68.665962 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.295921 , average_magnitude : 68.867027 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 69.824074 , average_magnitude : 68.900032 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 77.517128 , average_magnitude : 69.187271 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 64.411652 , average_magnitude : 69.033218 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 65.721825 , average_magnitude : 68.929741 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 75.363968 , average_magnitude : 69.124718 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 66.084976 , average_magnitude : 69.035316 
Decode NSSS - frame nb : 0 , cell_id : 1 , magnitude max : 60.984001 , average_magnitude : 68.805275 
Decode NSSS - frame nb : 1 , cell_id : 1 , magnitude max : 74.432892 , average_magnitude : 68.961594 
Decode NSSS - frame nb : 2 , cell_id : 1 , magnitude max : 66.894844 , average_magnitude : 68.905739 
Decode NSSS - frame nb : 3 , cell_id : 1 , magnitude max : 74.263641 , average_magnitude : 69.046738 
